symbol,name,initial_price,trend,volatility,description
APOL,Apollo ISR,,1.75%,1.13%,"Mega Corp/Ship Registry - One of, if not the most powerful corporations in the Galaxy. Specializing in ship registration, tracking, manufacturing, and R&D. Apollo ISR is a long-standing, impartial, third-party galactic organization that manages all data related to the massive number of starships present in the galaxy"
DOLI,Dolis Cybernetics,,0.37%,0.60%,"Droid Manufacturer - Once the leading droid and android manufacturer in the galaxy, they were the only company to maintain an independent contract with the Incorporated Ameristanian Republic during the reign of the Dread Emperor Augustus Jeffs Albert. They are most known as the creators of the S.M.I.L.E Bots (Singularity Motivated Intelligence Locus Type E)"
SARA,Sa’rai Merchant Corporation,,-0.19%,0.47%,"Trade Conglomerate - Known to most of the civilized Multiverse as The Merchants, the Sa'rai are a private, non-affiliated fleet of ships that carries imports and exports during times of peace, but may become a spacefaring auxiliary to its chosen faction during wartime, delivering troops (including many Sa'rai sailors), supplies and munitions between systems. The Merchants are a worker-owned operation, with management, mechanics, maintenance and crewmembers receiving shares in both the company and in individual hauls."
WBGE,Wethern-Bancroft Genomics,,-0.15%,1.12%,Body Augmentations Manufacturer - A small Body Augmentation company known as one of the leading non Arcadian implant manufacterors
TECH,Technomancer Inc.,,0.39%,0.23%,"Cybernetic Implant Manufacrurer - A body enhancement company, focusing on neural implants that expand mental processes by ostensibly hooking your brain up to microchipped ram and data storage. They are most famous for their line of Aarcane ™ implants, implants that allow the user to remotely access unencrypted data through directly streamed into their internal data systems, then easily accessible by their higher brain functions."
KKWZ,Kaleidoscope Kinetic Weapons,,0.50%,0.71%,"Weapons Manufacturer - They make good guns. Shoot far, big boom."
ELYS,Elysian Planet Acquisition,,0.68%,1.28%,"Mega Corp/Landowners - One of the major galactic players, their primary buisiness is, put simply, being landlords on a planetary scale. After the fall of the Dread Dictator, EPA quickly rose in prominance and power, purchasing and ""purchasing"" planets for cheap, ammasing an immense supply of natural resourses and land."
AMNO,The Amano Group,,1.00%,0.36%,"Mega Corp - The primary focus of The Amano Group lies in android production, a lucrative enterprise that forms the backbone of their vast wealth and influence, But they produce just about everything, one the last major corpo dynasties, a major galactic player."
ARCA,Arcadian Androids,,0.47%,1.73%,"Droid Manufacturer - A Subsidiary of The Amano Synthetics Division, which is a subsidiary of The Amono Group. The primary droid and Android production for the Amano Group. Arcadian Androids we're purchased about 2 years ago in a play by the Amano Group to expand beyond their sector and be a galaxy wide shareholder."
VIHO,Vidikov-Holtz,,0.34%,1.32%,Ship Manufacturer - A leading manufacturer of ships and ship parts with ship nurseries and branches all over the galaxy.
GAEL,Galactic Electric,,0.09%,0.39%,"Power Company - A morally flexible energy conglomerate that specializes in harvesting ""alternative energy sources""—which often translates to ""things that definitely shouldn’t be used as fuel."""
PCOG,PreCog Commerce,,0.22%,0.75%,"Predictive AI & Data Exploitation - Overmind Analytics collects, analyzes, and monetizes everything. From consumer behavior to war predictions, they deal in pre-emptive decision-making. "
AUGS,Aurora Geomantic Solution,,-1.30%,1.40%,"Ethical Mining & Terraforming Consortium - Unlike most mining corporations that strip planets down to bare rock, AGS specializes in eco-friendly mineral extraction—at least, that’s what the brochures say. Their proprietary GeoWeave™ tech supposedly restores planetary ecosystems while extracting rare elements, though results have varied (one planet grew an entirely new jungle, another collapsed into a methane swamp). Despite their shady scientific claims, AGS remains wildly popular with wealthy planets looking for a more PR-friendly approach to mining."
OVMC,Ovtarian Mining Co.,,0.39%,1.70%,"Mining Company - Famous for their ""Just drill to the fucking center of this planet"" approach to mining. They dont leave a planet till it ceases to exist."
BABX,Babylon Exports Incorporated,,0.20%,1.24%,Shipping and Raw Materials - A Babylon based small scale shipping conglomerate.
DFTB,Demeter FreeTrade Banking,,0.07%,1.18%,Off Planet Banking - Speclizing in hiding your money from the authorities
AUTX,"Automatronix, LLC",,0.24%,0.73%,"Droid Manufacturer - A budget-tier droid manufacturer, Automatronix is known for cheaply produced, poorly regulated robots that barely meet safety standards. Their AI programming is based on scavenged code from long-forgotten war machines, glitchy personal assistants, and one suspiciously aggressive Tamagotchi."
GKVC,Grizwald and Krumm Voidcraft,,0.46%,1.90%,"Ship Manufacturer - High tier, expensive, and elite, starship manufacturor, supplying the galaxies most elite armadas."
PBSA,Pretty Boy Shield and Accessories,,1.00%,0.49%,Combat Tech Manufacturer - A small Demeter based gear company - now repressented by Munk's Hunks
WSAA,Wex and Sons Applied Armaments,,-0.07%,0.32%,Weapons Manufacturing - A small Demeter based Weapons company
FLUX,Flux-Sterling Media,,-0.18%,0.87%,"Media Conglomerate - Large, but declining, media company, most famous for being the producers and distributers for ""The untamed Galaxy with Buck Callahan"""
BLLC,Bellatrix Cleans!,,0.02%,0.13%,Cleaning Services - Bellatrix Station based cleaning company.
IHLD,Impiato Hion Lightspeed Drives,,-0.23%,1.38%,Grav Drive Manufaturer - Mid tier Gravity drive manufacturors.
VOSS,Voss Industries,,0.21%,1.02%,"Agri Manufacturor - One of the leading manufacturors of bio engineered agri-products, famous for things like Grav Honey, Micro-corn, and Mega-corn."
SLOP,SlopBars LTD.,,0.12%,0.34%,Snack Maker - You know what it is.
BCSD,Blue Comet Soft-Drinks,,0.40%,0.07%,"Soft Drink Maker - Slurp down a Blue Comet, Death of a Star XTREME gushing slurp pouch today"
HOLY,Holy Sisters of the Infinite and Terrible Void,,0.09%,0.76%,"Void Worship/Drug Maufacturer - Of the myriad religions in the known Universe, the Holy Sisters of the Infinite and Terrible Void is the only one with no splinter factions, hence, it is easily definable by its own tenets which are as follows: 1) God is a Paradox; Ever present and never there when you need Her, 2) Non-participation is the better part of action, 3) If the pond is illusion, then what are the ripples? 4) All things come to she who waits… and waits…and waits, 5) Confuse Karma; stand quite still and think of nothing."
NTAS,Church of the Ninth Tone Ascendancy,,-0.23%,1.68%,"Worshippers of the Bell/Gizmos - Worshipers of the holy octive, and large scale gizmo and doodad makers."
FGFD,The Fredric-Grafter Federation,,0.23%,0.98%,"Research Organization - The Federation is a union of research teams, backed by immense teams and facilities all spread over a handful of worlds on the outskirts of the Daphda Traverse. Though they are not technically a government, nor do they have citizens, they do maintain complete private control of their worlds, and maintain strict regulations on the comings and goings of their corner of the Daphda."
OOBO,Ooga Boogo Inc.,,-0.36%,1.77%,Ooga/Booga - Ooga Booga Boo
FFFF,Fire Frank Fitz’s Empire,,0.28%,0.80%,"Smuggling Empire - The Empire of the greatest pirate ever to cross the void. His empire has its hands in many different industries, but made its start smuggling ""illicit"" substances."
HMAG,Her Majesties Goodies,,-0.26%,1.77%,Trade Conglomerate - General Exporter of Delphine locally maufactured products